name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Delft,2024-03-11T00:00:00,8.2,7.4,5.1,81.05,0,0,,0,0,18,5.9,48,998,3,10,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T01:00:00,7.2,7.2,5.1,86.12,0,0,,0,0,14.4,4.4,68,998.1,3,9.2,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T02:00:00,7.1,7.1,5.1,86.92,0,0,,0,0,8.5,2.8,36,998.1,32.1,8.1,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T03:00:00,7.1,6.3,5.2,87.82,0,0,,0,0,14.4,5.3,14,998.1,3,7.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T04:00:00,7.1,7.1,5.2,88.26,0,0,,0,0,14.4,4.4,15,998.1,51.5,8,0,0,0,,Partially cloudy,partly-cloudy-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T05:00:00,7,7,6,92.98,0,0,,0,0,14.4,2.8,337,998.2,3,8,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T06:00:00,6.2,6.2,5.3,93.58,0,0,,0,0,21.6,3,357,998.2,2.7,5.1,0,0,0,,Clear,clear-night,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T07:00:00,7,7,5.2,88.41,0.025,100,rain,0,0,18,3.4,16,999.1,3,5,0,0,0,,Rain,rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T08:00:00,7,7,6,93.67,0.002,100,rain,0,0,10.8,4.7,42,1000,3,4.9,0,0,0,,Rain,rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T09:00:00,7,5.6,6.1,93.55,0.049,100,rain,0,0,14.4,7.7,50,1000,99.7,4.9,0,0,0,,"Rain, Overcast",rain,"06260099999,C7674,06240099999,06344099999"
Delft,2024-03-11T10:00:00,7.3,6.7,6.9,97.61,0.01,100,rain,0,0,14.4,5,359,1001,100,3,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T11:00:00,7.9,7.2,6.9,93.52,0.005,100,rain,0,0,14.4,5.5,10,1001.1,100,3,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T12:00:00,7.9,6.7,7,93.96,0.015,100,rain,0,0,18,7.6,346,1002,100,3.1,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T13:00:00,8,6.2,7,93.94,1.61,100,rain,0,0,14.4,10.2,338,1002.1,100,4.1,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T14:00:00,8,6.3,7,93.69,0.005,100,rain,0,0,18,9.9,346,1002.2,100,5.1,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T15:00:00,8,7,7,93.34,0.02,100,rain,0,0,14.4,6.8,351,1003.1,100,5,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T16:00:00,7.9,6.6,6.9,93.4,0.007,100,rain,0,0,7.2,7.9,326,1003.2,100,5,0,0,0,,"Rain, Overcast",rain,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T17:00:00,7.9,6.2,6.9,93.34,0,0,,0,0,21.6,9.7,332,1004.1,90.3,5.1,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T18:00:00,7.1,5.5,6.1,93.67,0,0,,0,0,32.4,8.1,305,1005.1,100,5,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T19:00:00,7.1,5.4,6.1,93.67,0,0,,0,0,32.4,8.8,319,1006,90.3,5.8,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T20:00:00,7.1,5.1,6.1,93.43,0,0,,0,0,10.8,10.8,287,1006.1,90.3,3.9,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T21:00:00,7.1,4.3,6.2,94.1,0,0,,0,0,25.2,15.2,295,1007.1,90.3,4,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T22:00:00,7.1,4.2,6.9,98.7,0,0,,0,0,25.2,16.4,302,1008,90.3,4,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
Delft,2024-03-11T23:00:00,7.1,4.5,6.9,98.68,0,0,,0,0,14.4,14.4,310,1008.1,100,4,0,0,0,,Overcast,cloudy,"06356099999,C7674,06348099999,06240099999,06330099999,06344099999"
